"","id","txt","date","like","video","reply","re_reply"
"1","kagchisoon","#제주분식
분식덕후는 제주도에서도 분식을 먹지ㅎㅎ
제주산 식재료라 그런지 신선하고 깊은 맛!
.
.
.
.
.
.
제주분식
전화 - 064-726-2120
주소 - 제주시 귀아랑길 23 (제주공항 5분거리)
#제주여행#제주도가볼만한곳#제주도민맛집#동문시장맛집#연동제주분식#제주연동맛집#제주도맛집#용두암맛집#제주그램#제주공항근처맛집#애월맛집","2021년 3월 19일","가장 먼저 
좋아요
를 눌러보세요",NA,NA,NA
"2","leavewild_barnkitchen_jeju",".
.
오늘은 바람이 부는 화창한 날이네요<U+263A><U+FE0F>
맛있는 점심식사하러 오세요<U+0001F60A>
.
.
.
.
.
.
.
.
.
.
.
.
<U+0001F4CC>ㄹㅣㅂㅡㅇㅘㅇㅣㄹㄷㅡㄴㅡㄴ ㅇㅕㄴㅈㅜㅇㅁㅜㅎㅠ!
<U+0001F4CC>ㅁㅐㅈㅏㅇ ㅂㅏㅇㅁㅜㄴㅅㅣ ㄲㅗㄱ ㅁㅏㅅㅡㅋㅡㄹㅡㄹ ㅊㅏㄱㅇㅛㅇㅎㅐㅈㅜㅅㅔㅇㅛ
<U+0001F4CC>ㅇㅣㅂㅈㅏㅇㅎㅜ ㅊㅔㅇㅗㄴㅊㅡㄱㅈㅓㅇㄱㅘ ㅂㅏㅇㅁㅜㄴㄱㅣㄹㅗㄱㅇㅡㄹ ㅇㅟㅎㅐ ㅋㅠㅇㅏㄹㅋㅗㄷㅡㄹㅡㄹ ㅈㅔㅅㅣㅎㅐㅈㅜㅅㅔㅇㅛ
.
<U+0001F44F>ㄹㅣㅂㅡㅇㅘㅇㅣㄹㄷㅡㄴㅡㄴ ㅎㅏㅇㅅㅏㅇ ㅂㅏㅇㅇㅕㄱㄱㅘ ㅋㅗㄹㅗㄴㅏ ㅇㅏㄴㅈㅓㄴㅈㅣㅊㅣㅁㅇㅡㄹ ㅈㅜㄴㅅㅜㅎㅏㅂㄴㅣㄷㅏ.
.
.
.
.
#ㅈㅔㅈㅜㄷㅗㅁㅏㅅㅈㅣㅂ #ㅎㅏㄴㄹㅣㅁㅁㅏㅅㅈㅣㅂ #ㅎㅕㅂㅈㅐㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅂㅏㅂㅈㅣㅂ #ㅎㅏㄴㄹㅣㅁㅂㅏㅂㅈㅣㅂ #ㅎㅕㅂㅈㅐㅂㅏㅂㅈㅣㅂ #ㄱㅡㅁㄴㅡㅇㅂㅏㅂㅈㅣㅂ #ㅇㅐㅇㅝㄹㅂㅏㅂㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅅㅜㄹㅈㅣㅂ #ㅎㅏㄴㄹㅣㅁㅅㅜㄹㅈㅣㅂ #ㅎㅕㅂㅈㅐㅅㅜㄹㅈㅣㅂ #ㄱㅡㅁㄴㅡㅇㅅㅜㄹㅈㅣㅂ #ㅇㅐㅇㅝㄹㅅㅜㄹㅈㅣㅂ #ㅈㅔㅈㅜㅂㅡㄹㅓㄴㅊㅣ #ㅎㅕㅂㅈㅐㅂㅡㄹㅓㄴㅊㅣ #ㅎㅏㄴㄹㅣㅁㅂㅡㄹㅓㄴㅊㅣ #ㄱㅡㅁㄴㅡㅇㅂㅡㄹㅓㄴㅊㅣ #ㅎㅕㅂㅈㅐㅂㅜㄴㅇㅟㄱㅣㅈㅗㅎㅇㅡㄴㄱㅗㅅ #ㅎㅕㅂㅈㅐㅎㅏㅅㅍㅡㄹ #ㄹㅣㅂㅡㅇㅘㅇㅣㄹㄷㅡ #ㅎㅕㅂㅈㅐㄹㅣㅂㅡㅇㅘㅇㅣㄹㄷㅡ #leavewild #ㅈㅔㅈㅜㅎㅗㅌㅔㄹ #ㅎㅕㅂㅈㅐㅍㅗㅈㅏㅇ #ㅎㅕㅂㅈㅐㅍㅣㅈㅏ #제주 #제주도 #jeju","2021년 3월 19일","좋아요 3개",NA,NA,NA
"3","lumaca_jeju","Lumaca pasta

19일. 금요일 루마카 오픈했습니다<U+0001F40C>

맛있고 정성스럽게 준비합니다<U+0001F468><U+0001F3FB><U+200D><U+0001F373>

오늘도 활기차게 달려볼게요<U+0001F49B>
.
.
.
.
.
ㅅㅐㅇㅁㅕㄴㅍㅏㅅㅡㅌㅏ ㅈㅓㄴㅁㅜㄴㅈㅓㅁ ㄹㅜㅁㅏㅋㅏ

ㅈㅔㅈㅜ ㅅㅓㄱㅟㅍㅗ ㅊㅣㄹㅅㅣㅂㄹㅣㄹㅗ 306

ㄱㅓㄴㅁㅜㄹ ㄷㅟㅅㅍㅕㄴㅇㅔ ㅈㅜㅊㅏㅈㅏㅇ ㅇㅣㅆㅅㅡㅂㄴㅣㄷㅏ<U+0001F698>

ㅇㅖㅅㅡㅋㅣㅈㅡㅈㅗㄴ(ㅇㅏㄱㅣㅅㅣㄱㄱㅣㅇㅘ ㅇㅏㄱㅣㅇㅢㅈㅏ ㅁㅗㄷㅜ ㅇㅣㅆㅅㅡㅂㄴㅣㄷㅏ<U+0001F476>)

Lunch 11:00-15:00
Breack time 15:00-17:00
Dinner 17:00-21:00(L.O 20:30)

<U+0001F4CB>ㅇㅖㅇㅑㄱㅁㅜㄴㅇㅢ : 0507-1314-8857 or ㄴㅔㅇㅣㅂㅓㅇㅖㅇㅑㄱ","2021년 3월 19일","좋아요 3개",NA,"<U+0001F49B>","@lumaca_jeju #제주 #제주도 #서귀포 #제주맛집 #루마카 #제주도맛집 #서귀포맛집 #서귀포파스타 #서귀포레스토랑 #보목동 #토평 #제주레스토랑 #서귀포양식 #제주도양식 #제주도여행 #쇠소깍 #서귀포칼호텔"
"4","gogo46588","Reposted from @aewolzzim 후기 감사합니다.

<U+2022> <U+2022> <U+2022> <U+2022> <U+2022> <U+2022>
#애월찜 #애월맛집 #제주맛집 #제주도맛집 #제주도공항근처맛집

제주도 애월찜
오늘 먹은 것 중에 젤 낫다!","2021년 3월 19일","가장 먼저 
좋아요
를 눌러보세요",NA,NA,NA
"5","romantic_shrimp","후기 감사합니다.

<U+2022> <U+2022> <U+2022> <U+2022> <U+2022> <U+2022>
<U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F364> <U+0001F990> <U+0001F364>

#로맨틱새우 #새우요리 #코코넛쉬림프 #로맨틱BBQ쉬림프 #제주 #애월맛집 #곽지맛집 #곽지해수욕장맛집 #제주맛집 #제주도맛집","2021년 3월 19일","좋아요 5개",NA,"#곽지파스타맛집 #곽지과물해변맛집 #곽지맛집 #곽지해수욕장맛집 #곽지해수욕장 #애월맛집인정 #애월맛집추천 #애월맛집베스트 #애월맛집그램 #제주애월맛집 #제주도애월맛집 #제주애월가볼만한곳 #제주도맛집여행 #제주도맛집투어 #제주맛집투어 #제주맛집여행 #제주맛집베스트",NA
"6","food.man86","제주 애월해안도로
바다보면서 카레 먹는곳 <U+0001F44D>
예쁜 카레와 토핑 그득한!^^
맛도 최공~~
<U+0001F61C>
.
#jeju #제주도 #제주 #애월맛집 #애월카레 #카레맛집 #제주핫플 #제주밥집추천#짬뽕카레 #제주맛집#새별오름맛집 #제주맛집추천 #제주오션뷰맛집 #항몽유적지맛집#제주도카레 #제주저녁식사#사이카레#제주맛집추천 #제주도맛집#애월저녁식사 #제주맛집추천#화조원맛집#제주혼밥추천#애월밥집#애월해안도로맛집#제주애월맛집#한림맛집#한담맛집#제주공항맛집#애월혼밥추천#제주점심추천#981파크맛집","2021년 3월 19일","좋아요 1개",NA,NA,NA
"7","food.man86","제주 애월해안도로
바다보면서 카레 먹는곳 <U+0001F44D>
예쁜 카레와 토핑 그득한!^^
맛도 최공~~
<U+0001F61C>
.
#jeju #제주도 #제주 #애월맛집 #애월카레 #카레맛집 #제주핫플 #제주밥집추천#짬뽕카레 #제주맛집#새별오름맛집 #제주맛집추천 #제주오션뷰맛집 #항몽유적지맛집#제주도카레 #제주저녁식사#사이카레#제주맛집추천 #제주도맛집#애월저녁식사 #제주맛집추천#화조원맛집#제주혼밥추천#애월밥집#애월해안도로맛집#제주애월맛집#한림맛집#한담맛집#제주공항맛집#애월혼밥추천#제주점심추천#981파크맛집","2021년 3월 19일","좋아요 1개",NA,NA,NA
"8","googoo7690","광고

제주가면 흑돼지는 필수코스<U+0001F437>

#일출돈

육즙가득 풍부한 찐맛집
성산일출봉이 훤히 보이는 뷰맛집<U+0001F929><U+0001F4AF>

흑돼지가 아낌없이 들어가있는
김치찌개 굿~

당장달려가세요<U+0001F44D><U+0001F44D>

서귀포시 성산중앙로 64번길5-4
064-782-5151

#성산맛집#성산일출봉맛집#제주맛집#제주도맛집#성산흑돼지맛집#성산일출봉흑돼지맛집#용두암맛집#애월맛집#제주도흑돼지맛집#서귀포맛집#중문맛집#협재맛집#한림맛집","2021년 3월 19일",NA,"조회 1회","당장달려가고싶네요",NA
"9","food.man86","제주 애월해안도로
바다보면서 카레 먹는곳 <U+0001F44D>
예쁜 카레와 토핑 그득한!^^
맛도 최공~~
<U+0001F61C>
.
#jeju #제주도 #제주 #애월맛집 #애월카레 #카레맛집 #제주핫플 #제주밥집추천#짬뽕카레 #제주맛집#새별오름맛집 #제주맛집추천 #제주오션뷰맛집 #항몽유적지맛집#제주도카레 #제주저녁식사#사이카레#제주맛집추천 #제주도맛집#애월저녁식사 #제주맛집추천#화조원맛집#제주혼밥추천#애월밥집#애월해안도로맛집#제주애월맛집#한림맛집#한담맛집#제주공항맛집#애월혼밥추천#제주점심추천#981파크맛집","2021년 3월 19일","좋아요 1개",NA,NA,NA
"10","sistermomo_jeju","[단축영업] 네이버 예약 손님이 많은 금요일<U+0001F605> #모모언니 개인사정으로 16시까지만 맛있게 모실게요~~~<U+0001F469><U+200D><U+0001F373><U+0001F419> #문어즉석떡복이 #문어해물라면 #문어라면맛집 #제주라면맛집 #제주도라면맛집 #제주문어떡볶이 #제주문떡 #제주도맛집투어 #제주맛집베스트 #월정리떡볶이 #제주도떡볶이맛집 #구좌맛집 #제주문떡 #제주도떡볶이 #제주도분식맛집 #비자림근처맛집 #만장굴근처맛집 #제주도맛집 #제주도민맛집 #제주현지인맛집 #제주먹스타그램","2021년 3월 19일","좋아요 3개",NA,NA,NA
