"","id","txt","date","like","video","reply","re_reply"
"1","nandrcoffee","시골집..ㅎ귀욥꾸리<U+0001F49B><U+0001F499><U+2764><U+FE0F>","2021년 3월 19일","좋아요 2개",NA,"#난드르커피#nandrcoffee#ndr#제주도카페#제주카페#제주도맛집#제주서쪽#제주도여행#제주도감성#서귀포카페#서귀포맛집#제주#제주도여행#안덕면#안덕카페#덕수리#제주도소품샵#산방산#감성카페#카페투어#카페스타그램#카페추천#쇼핑몰촬영#제주도촬영#레드빈라떼#제주도유채꽃#산방산유채꽃#제주도벚꽃",NA
"2","leesiyeon2235","[창업]♡♡한 계단 높은 이상을 꿈꾸는 그대에게 자랑하고 싶은 홍보 노하우.

#애견인맞팔 #선팔하면맞팔 #선팔 #선팔환영 #선팔맞팔 #선팔100 #선팔좋아요 #선팔후댓글 #맞팔선팔
#선팔맞팔환영 #선팔하면맞팔가요 #선팔후맞팔 #선팔은맞팔 #맞팔선팔환영 #선팔로우 #맛집 #서면맛집 #강남맛집 #맛집추천
#홍대맛집 #이태원맛집 #부산맛집 #맛집스타그램 #제주도맛집 #대구맛집 #서울맛집 #해운대맛집 #제주맛집 #맛집탐방","2021년 3월 19일","좋아요 1개",NA,NA,NA
"3","jeju.hado","ㅇㅖㅃㅡㄴ ㅅㅏㅈㅣㄴ ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ<U+2764><U+FE0F>
.

ㅇㅣㅌㅏㄹㄹㅣㅇㅏ ㄱㅏㅁㅅㅓㅇ ㅋㅏㅍㅔ #ㅎㅏㄷㅗㅁㅣㅅㅜㄹㄱㅘㄴ
.
#ㅈㅔㅈㅜㄷㅗㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ .
010-8747-3336
ㅈㅔㅈㅜㅅㅣ ㄱㅜㅈㅘㅇㅡㅂ ㅎㅏㄷㅗ 13ㄱㅣㄹ 14 ㅈㅜㅊㅏ ㅎㅜ
ㅃㅏㄹㄱㅏㄴ ㅂㅕㄱㄷㅗㄹ ㄱㅓㄴㅁㅜㄹㄹㅗ ㄷㅗㅂㅗㅇㅣㄷㅗㅇ
ㅁㅐㅇㅣㄹ 11:00-18:00
.
.

#ㅈㅔㅈㅜ #ㅈㅔㅈㅜㄷㅗ #ㅈㅔㅈㅜㄷㅗㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㅋㅏㅍㅔ #ㅅㅓㄱㅟㅍㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ #ㅈㅔㅈㅜㄱㅏㅂㅗㄹㅁㅏㄴㅎㅏㄴㄱㅗㅅ #ㅈㅔㅈㅜㄷㅗㅃㅏㅇㅈㅣㅂ #ㄱㅜㅈㅘㅇㅡㅂㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㅅㅜㄱㅅㅗ #ㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅌㅜㅇㅓ #ㅎㅏㄷㅗㄹㅣㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱ #ㅍㅕㅇㄷㅐㄹㅣㅋㅏㅍㅔ #ㅅㅔㅎㅘㅋㅏㅍㅔ #ㅅㅓㅇㅅㅏㄴㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㄷㅗㅁㅣㄴㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅁㅏㄷㅡㄹㄹㅔㄴ #ㅈㅔㅈㅜㅁㅏㄷㅡㄹㄹㅔㄴ","2021년 3월 19일","좋아요 1개",NA,NA,NA
"4","jeju.hado","ㅇㅖㅃㅡㄴ ㅅㅏㅈㅣㄴ ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ<U+2764><U+FE0F>
.

ㅇㅣㅌㅏㄹㄹㅣㅇㅏ ㄱㅏㅁㅅㅓㅇ ㅋㅏㅍㅔ #ㅎㅏㄷㅗㅁㅣㅅㅜㄹㄱㅘㄴ
.
#ㅈㅔㅈㅜㄷㅗㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ .
010-8747-3336
ㅈㅔㅈㅜㅅㅣ ㄱㅜㅈㅘㅇㅡㅂ ㅎㅏㄷㅗ 13ㄱㅣㄹ 14 ㅈㅜㅊㅏ ㅎㅜ
ㅃㅏㄹㄱㅏㄴ ㅂㅕㄱㄷㅗㄹ ㄱㅓㄴㅁㅜㄹㄹㅗ ㄷㅗㅂㅗㅇㅣㄷㅗㅇ
ㅁㅐㅇㅣㄹ 11:00-18:00
.
.

#ㅈㅔㅈㅜ #ㅈㅔㅈㅜㄷㅗ #ㅈㅔㅈㅜㄷㅗㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㅋㅏㅍㅔ #ㅅㅓㄱㅟㅍㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ #ㅈㅔㅈㅜㄱㅏㅂㅗㄹㅁㅏㄴㅎㅏㄴㄱㅗㅅ #ㅈㅔㅈㅜㄷㅗㅃㅏㅇㅈㅣㅂ #ㄱㅜㅈㅘㅇㅡㅂㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㅅㅜㄱㅅㅗ #ㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅌㅜㅇㅓ #ㅎㅏㄷㅗㄹㅣㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱ #ㅍㅕㅇㄷㅐㄹㅣㅋㅏㅍㅔ #ㅅㅔㅎㅘㅋㅏㅍㅔ #ㅅㅓㅇㅅㅏㄴㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㄷㅗㅁㅣㄴㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅁㅏㄷㅡㄹㄹㅔㄴ #ㅈㅔㅈㅜㅁㅏㄷㅡㄹㄹㅔㄴ","2021년 3월 19일","좋아요 1개",NA,NA,NA
"5","jeju.hado","ㅇㅖㅃㅡㄴ ㅅㅏㅈㅣㄴ ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ<U+2764><U+FE0F>
.

ㅇㅣㅌㅏㄹㄹㅣㅇㅏ ㄱㅏㅁㅅㅓㅇ ㅋㅏㅍㅔ #ㅎㅏㄷㅗㅁㅣㅅㅜㄹㄱㅘㄴ
.
#ㅈㅔㅈㅜㄷㅗㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ .
010-8747-3336
ㅈㅔㅈㅜㅅㅣ ㄱㅜㅈㅘㅇㅡㅂ ㅎㅏㄷㅗ 13ㄱㅣㄹ 14 ㅈㅜㅊㅏ ㅎㅜ
ㅃㅏㄹㄱㅏㄴ ㅂㅕㄱㄷㅗㄹ ㄱㅓㄴㅁㅜㄹㄹㅗ ㄷㅗㅂㅗㅇㅣㄷㅗㅇ
ㅁㅐㅇㅣㄹ 11:00-18:00
.
.

#ㅈㅔㅈㅜ #ㅈㅔㅈㅜㄷㅗ #ㅈㅔㅈㅜㄷㅗㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㅋㅏㅍㅔ #ㅅㅓㄱㅟㅍㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ #ㅈㅔㅈㅜㄱㅏㅂㅗㄹㅁㅏㄴㅎㅏㄴㄱㅗㅅ #ㅈㅔㅈㅜㄷㅗㅃㅏㅇㅈㅣㅂ #ㄱㅜㅈㅘㅇㅡㅂㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㅅㅜㄱㅅㅗ #ㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅌㅜㅇㅓ #ㅎㅏㄷㅗㄹㅣㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱ #ㅍㅕㅇㄷㅐㄹㅣㅋㅏㅍㅔ #ㅅㅔㅎㅘㅋㅏㅍㅔ #ㅅㅓㅇㅅㅏㄴㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㄷㅗㅁㅣㄴㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅁㅏㄷㅡㄹㄹㅔㄴ #ㅈㅔㅈㅜㅁㅏㄷㅡㄹㄹㅔㄴ","2021년 3월 19일","좋아요 2개",NA,NA,NA
"6","jeju.hado","ㅇㅖㅃㅡㄴ ㅅㅏㅈㅣㄴ ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ<U+2764><U+FE0F>
.

ㅇㅣㅌㅏㄹㄹㅣㅇㅏ ㄱㅏㅁㅅㅓㅇ ㅋㅏㅍㅔ #ㅎㅏㄷㅗㅁㅣㅅㅜㄹㄱㅘㄴ
.
#ㅈㅔㅈㅜㄷㅗㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ .
010-8747-3336
ㅈㅔㅈㅜㅅㅣ ㄱㅜㅈㅘㅇㅡㅂ ㅎㅏㄷㅗ 13ㄱㅣㄹ 14 ㅈㅜㅊㅏ ㅎㅜ
ㅃㅏㄹㄱㅏㄴ ㅂㅕㄱㄷㅗㄹ ㄱㅓㄴㅁㅜㄹㄹㅗ ㄷㅗㅂㅗㅇㅣㄷㅗㅇ
ㅁㅐㅇㅣㄹ 11:00-18:00
.
.

#ㅈㅔㅈㅜ #ㅈㅔㅈㅜㄷㅗ #ㅈㅔㅈㅜㄷㅗㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅇㅕㅎㅐㅇ #ㅈㅔㅈㅜㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㅋㅏㅍㅔ #ㅅㅓㄱㅟㅍㅗㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㅅㅣㄴㅅㅏㅇㅋㅏㅍㅔ #ㅈㅔㅈㅜㄱㅏㅂㅗㄹㅁㅏㄴㅎㅏㄴㄱㅗㅅ #ㅈㅔㅈㅜㄷㅗㅃㅏㅇㅈㅣㅂ #ㄱㅜㅈㅘㅇㅡㅂㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㅅㅜㄱㅅㅗ #ㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅊㅜㅊㅓㄴ #ㅈㅔㅈㅜㅋㅏㅍㅔㅌㅜㅇㅓ #ㅎㅏㄷㅗㄹㅣㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱ #ㅍㅕㅇㄷㅐㄹㅣㅋㅏㅍㅔ #ㅅㅔㅎㅘㅋㅏㅍㅔ #ㅅㅓㅇㅅㅏㄴㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅇㅉㅗㄱㅋㅏㅍㅔ #ㅈㅔㅈㅜㄷㅗㅅㅜㄱㅅㅗ #ㅈㅔㅈㅜㄷㅗㅁㅣㄴㅁㅏㅅㅈㅣㅂ #ㅈㅔㅈㅜㄷㅗㅁㅏㄷㅡㄹㄹㅔㄴ #ㅈㅔㅈㅜㅁㅏㄷㅡㄹㄹㅔㄴ","2021년 3월 19일","좋아요 3개",NA,NA,NA
"7","freenchy1",".
애월 로드129
성게크림파스타
흑돼지함박스테이크
흑돼지치즈돈까스
훅돼지수제돈까스
해물야끼소바
.
전메뉴 포장가능
사전 전화주문시 빠른포장 가능하세요
01030766122
.#애월맛집#제주맛집#애월읍맛집#애월항맛집#제주애월점심#애월맛집추천#제주애월맛집#애월점심추천#애월밥집#제주현지인맛집#제주도민추천맛집#제주도현지인맛집#도민맛집#제주혼밥#제주시맛집#제주도맛집#금능맛집#한림맛집#협재맛집#협재해수욕장맛집#곽지해수욕장맛집#더럭분교맛집#애월해안도로#제주서쪽맛집#애월데이트코스#새별오름#애월카페#제주데이트코스","2021년 3월 19일","가장 먼저 
좋아요
를 눌러보세요",NA,NA,NA
"8","jeju_berry","#제주라울#라울48#제주도#박수기정#제주레스토랑#제주도맛집#서귀포맛집#대평포구#오설록#와인#제주#맛스타그램#제주여행#먹방#대평리맛집#산방산#제주맛집투어#서귀포레스토랑#중문관광단지#중문맛집#대평리#카멜리아힐#raul48#올레길#jeju#티본스테이크#안덕계곡#서귀포파스타#제주파스타#steak","2021년 3월 19일","좋아요 2개",NA,NA,NA
"9","nandrcoffee","프레첼머랭쿠키 잔뜩<U+0001F90D><U+0001F968><U+0001F968>","2021년 3월 19일","좋아요 5개",NA,"#난드르커피#nandrcoffee#ndr#제주도카페#제주카페#제주도맛집#제주서쪽#제주도여행#제주도감성#서귀포카페#서귀포맛집#제주#제주도여행#안덕면#안덕카페#덕수리#제주도소품샵#산방산#감성카페#카페투어#카페스타그램#카페추천#쇼핑몰촬영#제주도촬영#레드빈라떼#제주도유채꽃#산방산유채꽃#제주도벚꽃",NA
"10","jeju_berry","#제주라울#라울48#제주도#박수기정#제주레스토랑#제주도맛집#서귀포맛집#대평포구#오설록#와인#제주#맛스타그램#제주여행#먹방#대평리맛집#산방산#제주맛집투어#서귀포레스토랑#중문관광단지#중문맛집#대평리#카멜리아힐#raul48#올레길#jeju#티본스테이크#안덕계곡#서귀포파스타#제주파스타#steak","2021년 3월 19일","좋아요 4개",NA,NA,NA
