"","id","txt","date","like","video","reply","re_reply","like_video"
"1","jeju_party24_","최고가 아니면 모시지않습니다  정직한 주대    사소한 부분까지 모두 맞춰드리겠습니다   제주 여행길의 재미를 책임지는 오직 유아인 실장만 가능한 미친듯한 특별한 서비스     단체예약  얼마든지 가능합니다  혼술손님  제가 같이 케어하겠습니다  남자손님  최고의 미모로 모시겠습니다  여자손님  공주님으로 받들겠습니다   지금 순간을 가장기억에 남는 시간으로 만들겠습니다   선수    명 아가씨    명  항시대기 최고의 강남DJ팀 공연팀 항시대기      시간 운영 중      카톡 DM 문자 모두 문의 가능 칼답 갑니다   선수 아가씨 상시 모집  숙소지원 당일결제 월          만                 유아인 실장        #제주호빠  #호스트룸  #호빠  #생일파티  #제주텐프로  #제주도  #제주놀만한곳  #제주룸싸롱  #제주셔츠룸  #제주호스트바  #제주유흥추천  #제주가라오케  #제주노래방  #연동노래방  #연동가라오케  #제주맛집  #제주살이  #제주술집  #연동  #제주도여행  #제주도퍼블릭  #제주도맛집  #제주유흥  #좋아요반사  #선팔하면맞팔  #맞팔  #제주도노래방  #제주도아가씨  #유흥업소","2021년 3월 19일",0,NA,NA,NA,0
"2","mustache_jeju_island","  제주 핫플레이스 콧수염 카페   여심 저격 피크닉 옥상 빈백 정원 푸른 잔디 위에 편안한 빨간 빈백 소파 월정 바다가 한눈에 들어오는 별관 야외 테라스 까지 준비되어 있어요                  제주시 구좌읍 해맞이해안로     카페콧수염                     피드백을 남겨주신 고객님께 추첨을 통하여 소정의 상품을 드립니다  예쁜 사진 남겨주셔서 감사합니다     #제주도민맛집  #서귀포카페  #제주도여행  #월정리맛집  #제주시카페  #성산일출봉맛집  #제주도마카롱  #제주월정리  #제주여행  #월정리카페콧수염  #제주도  #제주도카페  #제주월정리카페  #구좌읍  #제주애견동반카페  #제주카페  #제주카페추천  #제주  #월정리해변  #월정리콧수염  #성산맛집  #월정리  #제주맛집  #월정리카페  #공항근처맛집  #제주도맛집  #함덕카페  #월정리카페거리  #제주피크닉  #제주애견동반","2021년 3월 19일",1,NA,NA,NA,1
"3","youngdumbyouth_sale","check     skirt                skirt                                           dm ","2021년 3월 19일",2,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",2
"4","brojeans_pic","삼각대와 리모컨 본전뽑기            #오설록  #오설록티뮤지엄  #녹차  #녹차라떼  #녹차밭  #제주도  #제주도여행  #제주여행  #제주카페  #제주도카페  #제주도맛집  #커플스냅  #셀프스냅  #셀프웨딩촬영  #스냅사진  #스냅샷  #커플룩  #시밀러룩  #데이트스냅  #신혼여행  #여행사진  #여행스냅  #portraitphotography  #portraits  #honeymoon  #selfie  #selfietime  #selfiegram  #좋반  #좋아요반사테러","2021년 3월 19일",12,NA,NA,NA,12
"5","farvento","한치오일파스타 새우크림파스타  신창휴게소 맞은편 언덕에 있어요 차로 분거리     #전복리조또     #한치오일파스타     #제주서쪽  #신창해안도로  #신창풍차해안도로  #jmt 영업시간             오후   시방문시 전화문의  일요일 휴무            까지 제주 특별대책으로 한팀에  명씩 가족제외 등본필지참  인원제한됩니다    코로나 의심증상있으신 분들은 방문 자제  부탁드려요  ","2021년 3월 19일",0,NA," #파벤토  #제주도맛집  #협재맛집  #한림맛집  #제주영어마을  #신창맛집  #판포리맛집  #제주여행  #대정맛집  #제주영어교육도시  #신화월드맛집  #오설록맛집  #조수리맛집  #저지리맛집  #금능맛집  #두모리맛집  #한경면맛집  #싱계물공원  #여행그램  #여행스타그램  #제주맛집추천  #울트라마린  #몽상드애월",NA,0
"6","youngdumbyouth_sale","check     cardigan                 free             dm ","2021년 3월 19일",2,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",2
"7","justcallme_chongchong","녹두삼계탕  몸이 따뜻해지고 피로가 풀린다 제주도의  월은 아직 추워서 몸을 녹이고 싶었다   부드러워 뼈까지 부서진다   특별하지 않지만 실망도 없었다 이집만의 하얀 마늘 장아찌가 일품이다    #도민맛집인듯일끝내고많이들오신다 전복삼계탕을많이시켜드시더라   #녹두삼계탕      원  #전복삼계탕      원   #조천맛집  #제주도맛집  #제주여행  #제주도  #dinner  #koreanfood  #kfood  #jeju  #chicken  #foodie  #fitfood  #healthyfood","2021년 3월 19일",NA,2,NA,NA,2
"8","bodam_good","잇힝  뿌셔버릴꺼야    ","2021년 3월 19일",3,NA,"","  #제주도 #제주시 #제주시맛집 #제주밥집 #제주맛집 #제주예찬 #맛있다 #냠냠 #맛집그램 #제주도맛집 #일상 #일상스타그램 #냠냠그램 #여행 #여행스타그램",3
"9","soyamii3","  애월 로드    성게크림파스타 흑돼지함박스테이크 흑돼지치즈돈까스 훅돼지수제돈까스 해물야끼소바   전메뉴 포장가능 사전 전화주문시 빠른포장 가능하세요               #애월맛집 #제주맛집 #애월읍맛집 #애월항맛집 #제주애월점심 #애월맛집추천 #제주애월맛집 #애월점심추천 #애월밥집 #제주현지인맛집 #제주도민추천맛집 #제주도현지인맛집 #도민맛집 #제주혼밥 #제주시맛집 #제주도맛집 #금능맛집 #한림맛집 #협재맛집 #협재해수욕장맛집 #곽지해수욕장맛집 #더럭분교맛집 #애월해안도로 #제주서쪽맛집 #애월데이트코스 #새별오름 #애월카페 #제주데이트코스","2021년 3월 19일",1,NA,NA,NA,1
"10","zipobby"," #제주분식  #제주맛집 제주도왔으니 모당모당이랑 돔베고기  전복김밥은 먹어줘야지         제주분식 주소 제주시 귀아랑길    전화번호                   #제주동문시장 #제주공항맛집 #제주시청맛집 #제주공항근처맛집 #연동카페 #제주도맛집 #연동제주분식 #제주도그램 #노형동카페 #제주도여행","2021년 3월 19일",0,NA,NA,NA,0
"11","youngdumbyouth_sale","check     knit                 free             dm ","2021년 3월 19일",4,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",4
"12","dream_30___","      괜찮아   뷰가 멋잇었잖아     ","2021년 3월 19일",7,NA," #제주도 #제주도여행 #제주여행 #제주일상 #제주가볼만한곳 #제주도맛집 #제주도감귤 #여행스타그램 #일상공유 #일상소통그램 #맞팔 #자유여행 #즉흥여행 #자전거 #등산 #캠핑 #캠핑장 #글램핑 #펜션 #여행에미치다 #여행지추천 #여행기록 #여행다녀왔습니다 #여행소통 #맛집투어 #맛집탐방",NA,7
"13","cocoing14","        단 이틀동안    만원    월달도 수익 쭉쭉                                                                                                                                                                                                                                                                                                                                                                                                             OK                                                                                                                                                                                                                                                                                                                                                                                                               X      X         X        X        X                   X                                                                                                                                                                          ","2021년 3월 19일",1,NA,"","  #대학생부업  #직장인부업  #직장인투잡  #투잡  #투잡추천  #부업추천  #부업문의  #인스타부업  #인스타알바  #알바모집  #폰부업  #영수증부업  #쇼핑몰부업  #제주도맛집  #제주맛집  #한강진맛집  #한강공원  #여의도맛집  #인사동맛집  #연남동맛집  #연남동카페  #카페스타그램  #카페인테리어  #미니멀리즘  #미니멀룩  #미니타투",1
"14","youngdumbyouth_sale","check     knit                knit                          dm ","2021년 3월 19일",5,NA,"","  #빈티지 #빈티지패션 #여성빈티지 #세컨핸드 #여자코디 #제주도맛집 #고양이 #부산카페 #패션 #소통 #일상 #데일리 #좋아요 #옷스타그램 #오오티디 #부산빈티지 #동묘 #빈티지룩 #수입빈티지 #코트 #니트 #원피스 #버버리 #청바지 #가디건 #슬리브리스 #부츠",5
"15","soyamii1","  애월 로드    성게크림파스타 흑돼지함박스테이크 흑돼지치즈돈까스 훅돼지수제돈까스 해물야끼소바   전메뉴 포장가능 사전 전화주문시 빠른포장 가능하세요               #애월맛집 #제주맛집 #애월읍맛집 #애월항맛집 #제주애월점심 #애월맛집추천 #제주애월맛집 #애월점심추천 #애월밥집 #제주현지인맛집 #제주도민추천맛집 #제주도현지인맛집 #도민맛집 #제주혼밥 #제주시맛집 #제주도맛집 #금능맛집 #한림맛집 #협재맛집 #협재해수욕장맛집 #곽지해수욕장맛집 #더럭분교맛집 #애월해안도로 #제주서쪽맛집 #애월데이트코스 #새별오름 #애월카페 #제주데이트코스","2021년 3월 19일",0,NA,NA,NA,0
"16","fff__ood","공항가기전에 기념품을 못샀는데 다행히 근처에 선물세트로 파는 타르트집이 있어서 바로 겟   가족들이 너무 맛있다고 좋아하네요         #제주도카페  #제주도맛집  #제주핫플  #제주공항근처카페  #jeju  #jejudo  #제주타르트  #제주맛집  #제주카페  #타르트맛집  #제주도여행  #제주공항카페  #섬타르  #제주선물  #제주카페투어  #제주도카페추천  #제주도타르트  #제주도카페맛집 #제주시카페 #제주공항근처맛집 #제주도여행","2021년 3월 19일",0,NA,NA,NA,0
"17","batanam0926","제주유메이우동 소고기우동 곱창우동 찐맛집             #제주살이 #제주한달살기 #도민맛집 #제주도민맛집 #유메이우동 #제주유메이우동 #월정리유메이우동 #월정리 #월정리맛집 #제주월정리맛집 #제주맛집 #제주도맛집 #제주여행 #데일리 #소고기우동 #소고기카레우동 #곱창우동 #우동맛집 #성산일출봉맛집 #구좌맛집 #함덕맛집 #함덕해수욕장맛집 #애월맛집 #제주아쿠아플라넷맛집  #한림맛집 #제주한림맛집 #제주협재맛집 #협재맛집","2021년 3월 19일",5,NA,NA,NA,5
